qoute,movie
"I'm going to make him an offer he can't refuse","GODFATHER"
"You don't understand! I coulda had class. I coulda been a contender. I could've been somebody, instead of a bum, which is what I am","ON THE WATERFRONT"
"Toto, I've got a feeling we're not in Kansas anymore","WIZARD OF OZ"
"Here's looking at you, kid","CASABLANCA"
"Go ahead, make my day","SUDDEN IMPACT"
"All right, Mr. DeMille, I'm ready for my closeup","SUNSET BLVD"
"May the Force be with you","STAR WARS"
"Fasten your seatbelts. It's going to be a bumpy night","ALL ABOUT EVE"
"You talking to me?","TAXI DRIVER"
"What we've got here is failure to communicate","COOL HAND LUKE"
"I love the smell of napalm in the morning","APOCALYPSE NOW"
"Love means never having to say you're sorry","LOVE STORY"
"The stuff that dreams are made of","MALTESE FALCON"
"E.T. phone home. E.T.","THE EXTRATERRESTRIAL"
"They call me Mister Tibbs!","IN THE HEAT OF THE NIGHT"
